product,country,price,millisSinceEpoch
butter,belgium,297,936144000000
butter,belgium,301,938736000000
butter,belgium,306,941414400000
butter,belgium,307,944006400000
butter,belgium,304,946684800000
butter,belgium,297,949363200000
butter,belgium,336,951868800000
butter,belgium,297,954547200000
butter,belgium,306,957139200000
butter,belgium,313,959817600000
butter,belgium,320,962409600000
butter,belgium,323,965088000000
butter,belgium,326,967766400000
butter,belgium,329,970358400000
butter,belgium,328,973036800000
butter,belgium,327,975628800000
butter,belgium,317,978307200000
butter,belgium,312,980985600000
butter,belgium,315,983404800000
butter,belgium,318,986083200000
butter,belgium,322,988675200000
butter,belgium,327,991353600000
butter,belgium,328,993945600000
butter,belgium,325,996624000000
butter,belgium,326,999302400000
butter,belgium,320,1001894400000
butter,belgium,312,1004572800000
butter,belgium,305,1007164800000
butter,belgium,301,1009843200000
butter,belgium,297,1012521600000
butter,belgium,299,1014940800000
butter,belgium,298,1017619200000
butter,belgium,296,1020211200000
butter,belgium,296,1022889600000
butter,belgium,299,1025481600000
butter,belgium,299,1028160000000
butter,belgium,306,1030838400000
butter,belgium,309,1033430400000
butter,belgium,308,1036108800000
butter,belgium,307,1038700800000
butter,belgium,305,1041379200000
butter,belgium,303,1044057600000
butter,belgium,306,1046476800000
butter,belgium,304,1049155200000
butter,belgium,303,1051747200000
butter,belgium,304,1054425600000
butter,belgium,307,1057017600000
butter,belgium,311,1059696000000
butter,belgium,314,1062374400000
butter,belgium,312,1064966400000
butter,belgium,311,1067644800000
butter,belgium,307,1070236800000
butter,belgium,302,1072915200000
butter,belgium,299,1075593600000
butter,belgium,300,1078099200000
butter,belgium,301,1080777600000
butter,belgium,303,1083369600000
butter,belgium,305,1086048000000
butter,belgium,306,1088640000000
butter,belgium,305,1091318400000
butter,belgium,303,1093996800000
butter,belgium,303,1096588800000
butter,belgium,303,1099267200000
butter,belgium,300,1101859200000
butter,belgium,290,1104537600000
butter,belgium,288,1107216000000
butter,belgium,286,1109635200000
butter,belgium,285,1112313600000
butter,belgium,282,1114905600000
butter,belgium,284,1117584000000
